E,pt,eta,phi
65910.5,56409.8,0.563439,0.0582565
42243.4,35974.5,-0.556011,-1.6025
133729.0,114500.0,0.563819,-3.1293
71528.8,34639.4,1.34718,-1.36023
517526.0,27638.1,3.62224,-1.55313
192783.0,56870.9,1.89057,2.20115
43301.1,42304.4,0.100499,2.86855
82919.5,53791.6,-0.99468,-1.60517
105239.0,46499.9,-1.45555,0.0413779
55092.7,54106.9,-0.12554,-0.0955198
435529.0,181871.0,-1.51635,-0.574075
1042070.0,872126.0,0.570345,2.8518
381613.0,335638.0,-0.517393,-2.24023
1060990.0,927891.0,0.529052,-1.34759
121113.0,82148.1,-0.924678,-0.46509
73543.6,27420.9,-1.63604,0.666496
134613.0,116135.0,-0.484356,-2.8608
558843.0,501911.0,-0.468418,0.0532845
140056.0,99777.6,-0.865653,1.62228
734030.0,341126.0,-1.39167,-0.0132053
425475.0,288419.0,-0.937423,-0.730949
184535.0,178331.0,-0.253801,-3.09669
60977.9,32803.3,-1.22042,1.38221
38866.8,28572.2,-0.807152,0.53829
87527.6,70641.5,0.629493,0.26728
804017.0,667819.0,-0.619259,2.09223
40933.0,32279.1,-0.696428,-1.28836
441439.0,433387.0,0.157247,-2.85176
108219.0,105280.0,-0.0982001,1.76441
701795.0,172370.0,2.08053,1.88894
880650.0,538629.0,1.07221,2.65974
767202.0,635629.0,0.541429,0.134634
91915.0,49313.0,1.2298,-2.1373
551611.0,267790.0,1.34837,-2.38454
106898.0,57979.5,1.2158,0.351105
116406.0,113739.0,0.0955754,2.98147
289190.0,275459.0,0.26005,-0.80807
712449.0,537715.0,0.775558,-2.40243
477478.0,125209.0,2.01003,-0.45146
567512.0,139124.0,-2.08203,0.764369
858685.0,59002.3,-3.36974,-2.83646
24934.3,24414.6,-0.163188,2.96863
104477.0,25730.7,2.07788,-1.1326
94035.7,30303.2,1.79506,1.17909
338247.0,104458.0,1.84121,0.258106
203790.0,113276.0,-1.1867,1.63852
889664.0,568891.0,-1.01148,-3.08983
1105720.0,553042.0,-1.30307,0.933048
33077.9,28880.3,0.494881,-2.29725
199027.0,198165.0,0.061168,0.0548226
999785.0,576156.0,1.1463,2.88074
220362.0,218408.0,-0.0670528,-2.39443
242168.0,53874.5,-2.18267,-0.515737
1051900.0,255500.0,2.09276,0.285329
192916.0,138969.0,0.823135,-2.90881
352883.0,88791.4,-2.05574,2.01255
306582.0,204670.0,0.959921,-1.62607
500696.0,349717.0,-0.889426,0.69355
313887.0,233644.0,0.793024,2.87453
106900.0,26048.2,-2.08771,-0.728657
603445.0,536586.0,0.453111,-0.667503
784956.0,609474.0,0.737766,-0.200082
865708.0,777158.0,0.461209,0.387918
405052.0,401340.0,-0.0129166,0.289664
181504.0,150616.0,0.614688,0.496389
2100020.0,444196.0,-2.23504,0.431632
434144.0,34234.7,3.23168,-1.25881
65927.2,28444.3,-1.4795,2.06506
94822.0,41526.6,-1.45933,-0.857178
146329.0,127224.0,0.530023,-2.9015
93853.4,92696.2,-0.0819192,-2.36301
689441.0,688605.0,0.0235685,-1.48679
369440.0,153521.0,-1.52359,-0.468052
898568.0,871420.0,-0.23871,0.597573
283692.0,191007.0,0.948196,0.901866
55264.3,46463.0,0.582013,0.661079
95539.7,57180.8,1.09285,-2.22371
436691.0,115230.0,-2.0075,-3.07096
117721.0,116560.0,-0.0415586,-2.9881
1741100.0,539211.0,-1.83984,1.8046
304284.0,278855.0,-0.417333,0.991155
982247.0,271935.0,1.95488,0.18449
1522480.0,1163720.0,-0.763911,-2.90654
126219.0,124756.0,0.111721,1.29946
380401.0,119175.0,-1.82706,-1.14464
158262.0,145531.0,-0.386893,-3.02637
419097.0,379806.0,-0.391404,-0.519997
1438960.0,487567.0,1.74531,-1.02524
390234.0,48219.0,2.7801,-0.157668
592020.0,40575.0,3.37215,0.957482
564757.0,537504.0,-0.286959,2.18306
320933.0,310473.0,-0.241893,2.4126
55126.6,31091.1,-1.17005,0.48785
793369.0,614445.0,-0.703617,-2.26959
656344.0,119743.0,2.38598,0.787125
179577.0,102102.0,1.15318,-1.25896
89245.4,84974.5,0.211524,-0.287889
45489.8,27405.4,-1.08008,-1.23422
39559.0,26906.5,-0.929659,1.89377
86144.5,82863.0,0.0538301,-0.924744
132242.0,48797.1,-1.65129,0.785267
107941.0,75865.2,0.875611,-3.09501
300793.0,248233.0,-0.619614,1.85229
194008.0,41149.0,2.23034,0.408831
86296.4,46668.4,1.20946,-1.00837
53967.6,49395.2,0.396966,-2.25104
274055.0,265388.0,-0.244711,-0.545773
182566.0,165101.0,0.413564,-2.449
503972.0,56399.4,-2.87993,0.993859
756314.0,654070.0,-0.549525,-0.887558
125555.0,116101.0,0.384927,-1.47063
149714.0,129915.0,-0.494615,-1.85051
1089730.0,400612.0,-1.65787,1.0096
535343.0,96476.8,-2.39791,-1.71125
817816.0,815439.0,-0.027071,-3.07026
263534.0,129342.0,1.33722,2.2664
2670500.0,416767.0,2.5443,-0.0843583
1363180.0,1005420.0,0.810424,-0.827525
935740.0,897396.0,-0.282793,2.66676
476247.0,363170.0,0.760932,-1.13998
245508.0,238822.0,0.106866,0.881478
356530.0,237788.0,-0.955058,-2.90411
1326850.0,510448.0,-1.60729,-0.718902
1879590.0,72769.9,-3.94425,2.87458
768792.0,429970.0,1.1804,-1.21916
803849.0,570587.0,-0.875225,1.86379
787605.0,638152.0,-0.665953,1.33112
282667.0,249353.0,0.509239,1.59322
176752.0,38876.6,-2.19069,2.21844
51368.9,23648.8,1.4033,-1.55901
1043530.0,48368.6,3.76408,0.199609
100525.0,63218.1,-1.02067,-0.27576
517064.0,513155.0,-0.117302,0.411928
1273030.0,338987.0,-1.99751,-0.335033
582755.0,440755.0,-0.77295,2.02209
89480.8,71024.5,-0.664396,-2.12352
332234.0,138262.0,1.52214,-0.903255
95547.0,94145.9,-0.124373,1.53562
716716.0,106667.0,2.59193,-3.1236
59994.5,52917.8,0.497563,2.56624
681879.0,576610.0,0.586242,-2.16963
457647.0,110079.0,2.10287,2.17501
332869.0,179139.0,1.22936,-2.12964
1212550.0,43161.3,4.02834,0.228211
732399.0,648680.0,-0.494279,1.13087
311381.0,199570.0,0.996804,-0.655976
354419.0,157959.0,-1.44569,-2.01249
1362680.0,440070.0,-1.79519,2.42014
193648.0,35433.9,-2.38066,-2.26648
531078.0,516593.0,-0.232869,-1.28499
482860.0,410264.0,0.584344,-1.91833
77976.3,36613.2,-1.38121,-2.31093
406720.0,359970.0,0.470208,2.95707
755880.0,524443.0,-0.899643,2.75369
504835.0,463505.0,0.313279,-2.284
42389.1,40600.2,0.272283,-1.85957
92429.3,28510.0,1.84302,0.970391
106575.0,62165.2,-1.12811,0.220935
237439.0,129676.0,-1.21147,2.89717
481601.0,332923.0,-0.909083,1.70073
65854.2,60241.1,0.42374,-1.67286
600470.0,546877.0,0.4354,1.43447
393604.0,319446.0,0.660085,-0.789126
1164300.0,46810.7,3.90645,-3.0104
62143.4,35704.1,1.14679,1.12816
132451.0,112976.0,0.578354,-1.06561
64021.1,44730.6,-0.87275,0.453031
452151.0,73109.4,2.50786,1.81563
94558.5,72402.7,-0.744123,1.05831
1606020.0,175836.0,2.90203,-1.40414
216106.0,101911.0,-1.37788,1.88992
1321800.0,251903.0,2.34123,-2.98073
176750.0,166975.0,-0.334972,1.03365
693264.0,687991.0,-0.0741487,-2.70714
307867.0,306071.0,0.102258,-1.70021
290788.0,101029.0,-1.71762,-1.64221
55464.1,47722.9,0.534417,1.29338
545963.0,538032.0,0.158708,-1.15879
398250.0,27937.6,3.34881,-2.24938
1837530.0,677019.0,1.65544,-2.09536
799183.0,793256.0,0.0182667,3.09038
214826.0,207401.0,-0.26168,2.99249
258221.0,29977.1,-2.84275,1.70299
627712.0,41974.8,-3.397,0.141325
771399.0,365864.0,1.37442,0.590487
107114.0,31833.5,1.88252,-0.571422
1252080.0,854014.0,-0.918379,-1.7168
638645.0,522679.0,0.638787,2.49733
47602.8,36175.9,0.757888,1.94496
124577.0,71766.3,-1.14791,-1.77672
301898.0,54755.9,-2.39109,1.58314
102962.0,101961.0,-0.0756157,0.593096
477991.0,229005.0,1.36486,2.62508
115526.0,31075.1,-1.98441,-0.852543
25812.0,24024.6,-0.250048,-1.16194
163400.0,91859.3,1.14829,1.22922
255994.0,68540.5,-1.98915,2.15075
898436.0,253704.0,1.93683,3.0601
949118.0,402458.0,-1.49951,-1.50647
825551.0,719915.0,0.517528,-2.91003
1045450.0,206500.0,-2.30495,2.85992
134028.0,112424.0,0.588128,2.73348
456196.0,447540.0,-0.14091,2.11435
128879.0,123610.0,-0.0873912,-0.61941
225041.0,155119.0,-0.9049,1.63165
485719.0,481448.0,-0.0183777,-1.80632
128482.0,122920.0,-0.288511,0.393165
370261.0,76202.5,2.26292,2.483
623986.0,35010.6,3.57284,3.13037
889299.0,646335.0,0.83304,-0.961868
152564.0,85052.3,1.18229,0.901536
275024.0,246195.0,0.470069,-2.2722
258214.0,252924.0,-0.183188,0.0771763
323526.0,322637.0,0.060416,2.18765
229137.0,27969.8,-2.79222,-0.401395
101938.0,99169.4,-0.225161,-3.08301
374993.0,330770.0,0.503491,-2.34253
338971.0,131348.0,1.5984,-2.21153
93996.6,75548.6,0.681226,1.64779
343473.0,157441.0,-1.41238,-1.55817
670988.0,25721.6,-3.95417,-2.55551
287698.0,135422.0,-1.38478,0.597312
222331.0,219528.0,0.0534482,-1.97191
83963.3,68112.4,0.638689,-0.760823
171100.0,138058.0,0.668154,-1.60142
238209.0,228214.0,-0.288827,1.7974
107305.0,44063.5,-1.53592,-3.03335
685789.0,415538.0,1.06036,1.02273
652063.0,496099.0,-0.74653,2.27284
585785.0,413702.0,0.882282,-1.57093
179870.0,74846.4,1.51975,-2.22591
1014130.0,957261.0,0.33749,0.0290931
84745.7,79547.6,-0.288514,2.81145
82742.1,45306.0,-1.20249,0.543609
68901.2,24905.0,1.67251,-0.766492
487586.0,102718.0,2.23755,-2.38259
43461.2,36493.5,-0.598312,-2.17647
686507.0,557599.0,0.648645,2.42756
651750.0,61092.6,3.05804,-0.724128
269097.0,236359.0,0.513451,0.129074
613180.0,605162.0,0.0252245,2.60735
198437.0,127376.0,1.01063,1.21597
311490.0,102544.0,-1.77269,2.48854
707140.0,428934.0,1.0833,-0.921445
604473.0,176212.0,1.90363,-0.282609
862030.0,220083.0,-2.04151,-0.517022
536594.0,528143.0,0.121171,-2.09525
128695.0,76790.9,-1.07466,0.0366639
73089.9,70953.4,0.0725509,-1.38747
457315.0,56550.2,-2.77923,2.43529
103722.0,60817.7,-1.10599,-2.71801
44635.0,32466.4,0.838395,1.60787
116106.0,111221.0,-0.232017,-0.701061
289690.0,53656.4,2.36991,-1.58879
296590.0,59474.0,-2.28896,-0.759336
808023.0,432380.0,-1.23654,-2.49243
93440.6,65407.3,-0.88884,2.04497
437123.0,371016.0,0.582105,-3.07824
69221.2,43778.5,-1.01299,1.9905
231553.0,54743.1,-2.11807,-2.78175
65863.1,62897.1,0.181986,2.9009
191333.0,84568.0,1.45272,0.413308
54297.0,51164.3,0.334383,-1.30615
207448.0,203786.0,-0.176653,2.04189
870118.0,133755.0,-2.55907,1.68688
96473.2,83293.1,-0.547138,-2.28044
563431.0,519836.0,0.345665,-1.52961
738908.0,674917.0,-0.427891,-2.39344
804235.0,590662.0,0.821727,1.54488
111256.0,110215.0,-0.107495,0.903607
329299.0,324543.0,-0.0553434,2.19567
88483.9,65487.5,-0.810987,-1.65112
353917.0,215806.0,-1.06855,0.256385
480965.0,445760.0,0.378998,-0.178985
32829.2,25432.2,0.723278,0.71876
1645750.0,1529470.0,0.383584,-1.45207
360922.0,169215.0,1.39011,0.0141203
321115.0,182740.0,-1.16072,1.13806
688656.0,23960.5,4.05114,2.21834
406838.0,39239.8,-3.02905,-2.86746
270872.0,263692.0,-0.210115,-1.14749
122956.0,78244.7,-1.01352,1.99044
117037.0,38029.3,-1.78594,1.62201
609343.0,123276.0,-2.28013,-2.71277
414705.0,216267.0,1.26529,0.410125
1254530.0,161187.0,-2.74074,1.17964
449712.0,400097.0,0.44644,2.19925
189370.0,188160.0,0.0484477,-0.644103
569917.0,552908.0,0.204753,-2.54032
614576.0,455066.0,0.807973,-1.32209
87345.0,84309.2,0.0535477,1.84696
1877230.0,687846.0,1.66117,0.407712
119645.0,93655.8,0.72275,-0.637794
86050.4,32565.3,1.62569,1.69841
121158.0,46125.8,1.61656,-1.78533
176872.0,140896.0,0.68317,-1.09051
239712.0,172973.0,-0.821863,3.0082
98464.7,91183.0,-0.356762,-1.80852
1070070.0,706908.0,0.97191,1.30057
475772.0,285919.0,-1.08071,-1.10176
173624.0,57293.5,1.77127,2.30605
678815.0,29731.7,-3.82078,-2.69682
232967.0,232175.0,0.0565279,1.84221
540368.0,518538.0,0.173401,2.9639
171077.0,142423.0,-0.58868,-2.45077
779196.0,739309.0,-0.308873,2.01902
69601.2,41606.5,-1.09962,-1.05449
107124.0,70256.4,0.983915,0.693733
1207680.0,686694.0,1.1518,0.79478
228815.0,179480.0,0.711878,2.572
92319.0,49754.6,-1.22327,-0.925109
1169390.0,123281.0,2.93994,1.49102
726365.0,649433.0,-0.467817,0.441696
60032.1,51077.1,0.537887,-0.903566
180146.0,153742.0,-0.56871,2.01777
31842.2,28688.7,0.367153,-1.26375
60511.8,60466.1,0.0340641,-1.30755
197661.0,77806.5,-1.58303,-1.93646
665559.0,35628.4,-3.61985,2.44889
36429.5,27294.2,-0.761326,-0.939733
935707.0,202979.0,2.20905,-1.48509
70516.9,60781.8,0.471667,-0.651324
291689.0,225342.0,0.745028,-1.99959
678378.0,29301.7,3.83463,-0.845111
39006.3,38356.8,0.121008,1.79723
50277.4,45864.5,0.359799,2.20661
330733.0,133366.0,1.55395,-0.459841
258890.0,32581.2,2.76125,-2.73826
926116.0,811590.0,0.516764,-2.04888
148358.0,33255.5,-2.17439,-1.3259
83668.3,81795.0,0.177585,-1.81158
617966.0,115654.0,2.35989,-3.02719
652124.0,645479.0,0.114585,3.00586
683993.0,641325.0,0.353613,1.2105
93368.1,31081.7,1.76379,2.53666
944346.0,865132.0,-0.418064,-2.96569
64543.3,59911.0,-0.353063,0.698201
166038.0,150134.0,-0.449145,-0.482214
649045.0,285359.0,1.45849,-1.25974
222437.0,163420.0,0.809552,-3.13393
562547.0,33689.9,-3.50737,-0.559152
1392420.0,665361.0,-1.36844,2.73017
424713.0,418363.0,0.0753169,2.5284
34692.1,31634.6,-0.307204,0.728822
30898.8,27714.4,-0.422282,1.06938
263222.0,164093.0,-1.04779,2.87609
1307910.0,66876.1,3.66569,0.465586
205098.0,171297.0,0.596412,1.00248
675198.0,199802.0,1.88651,2.05862
30015.4,26981.2,-0.458316,-2.81565
240480.0,116883.0,-1.34798,-1.59244
135784.0,119826.0,0.491209,2.35984
396775.0,29710.6,3.28317,-3.11786
97672.8,29242.7,1.87393,-1.00209
191677.0,84861.9,1.45064,2.53618
763963.0,739192.0,0.240034,0.631517
405397.0,240986.0,-1.10792,-0.705296
572476.0,167424.0,-1.89974,0.830702
1333850.0,999327.0,-0.791031,-2.93603
409577.0,159661.0,1.59427,-1.95113
270729.0,63591.5,-2.12545,-2.90805
1962960.0,819574.0,-1.5196,1.97621
712628.0,539750.0,-0.778812,-2.40455
36186.2,23731.8,0.972951,-0.764563
893130.0,580023.0,-0.988741,-0.654211
60491.6,55562.2,0.362973,-2.11474
758791.0,588284.0,0.742988,0.675523
311844.0,57447.3,-2.3756,0.772616
56360.5,56000.0,-0.0682324,-0.364924
77346.8,46436.2,-1.08878,-1.17979
89314.7,46261.1,1.26767,0.792856
55376.6,41166.2,0.788781,2.26671
446229.0,280404.0,-1.03797,0.833427
265642.0,230928.0,0.49555,-1.04043
1716250.0,769026.0,1.44087,2.99483
1163890.0,34435.4,4.21335,0.983755
477065.0,449316.0,-0.333778,-3.06076
1260700.0,347332.0,-1.9622,1.60044
135553.0,80630.6,1.09558,-2.87249
773930.0,635108.0,0.632479,2.66437
928336.0,262963.0,-1.93346,2.90932
615442.0,467072.0,0.768724,2.06438
587769.0,322849.0,1.20487,-1.28451
180862.0,138130.0,0.751319,-0.987837
494449.0,314153.0,-1.02164,1.96815
98449.7,24498.4,-2.06637,-1.36737
59476.9,39371.8,0.958243,-1.63263
105737.0,91660.6,0.537707,-2.83896
77212.0,32869.2,1.49643,2.41454
533747.0,178542.0,-1.75675,-0.661519
901493.0,552578.0,-1.06907,2.85368
111063.0,109168.0,-0.0224887,-2.39665
795690.0,216736.0,1.97411,2.41112
669182.0,118322.0,-2.41739,-1.08327
614665.0,33720.6,-3.59528,-3.05802
868423.0,388612.0,1.44282,1.34082
593934.0,121694.0,2.26717,-2.57381
33059.7,30670.5,-0.311298,-0.933231
651836.0,604831.0,-0.381783,-2.68647
58495.2,56159.0,0.267563,2.21569
72314.0,32523.0,-1.43426,1.96471
121526.0,63048.7,1.26483,-0.682075
2387740.0,954872.0,1.56173,3.12858
305431.0,33927.3,-2.88725,2.0736
348263.0,75724.9,2.20593,1.84497
1091820.0,43049.9,-3.92593,-0.881926
429205.0,186580.0,-1.47399,-2.72794
850411.0,272234.0,-1.80457,2.18838
459878.0,29240.0,-3.44743,0.146648
271507.0,80117.9,1.88927,1.14758
263099.0,68638.4,-2.01842,2.19626
254169.0,226318.0,0.462218,3.111
94161.5,36168.6,-1.60924,-2.09353
1003560.0,281810.0,-1.94192,2.18732
148609.0,57028.6,1.60428,-2.53145
382537.0,240796.0,-1.03377,-0.00121389
106927.0,23898.6,2.17779,0.959121
40388.0,40131.5,0.0221063,0.713968
37812.1,29637.5,0.719667,0.0696709
588459.0,446442.0,-0.771195,0.97843
79201.9,78103.6,-0.00896715,0.188963
105001.0,39129.2,1.64181,0.126826
535152.0,22876.9,-3.84506,0.919892
183062.0,123469.0,0.921144,3.06389
119549.0,63048.2,1.25256,1.84631
899228.0,522176.0,-1.13638,0.635495
1112320.0,753844.0,0.939018,-2.16415
585369.0,426922.0,-0.821493,-0.644814
159440.0,136122.0,0.573809,0.779284
690547.0,533692.0,0.745082,-2.20143
1649570.0,731106.0,-1.45179,0.871826
780406.0,203245.0,2.02069,2.72827
39180.8,31442.5,-0.681101,2.63051
400663.0,274430.0,0.901728,-0.564574
1776970.0,1773290.0,-0.0156462,-2.71769
825845.0,811484.0,-0.182789,-0.37986
893765.0,806874.0,-0.43788,-3.02851
419727.0,222266.0,1.24657,-0.0449358
258646.0,118347.0,-1.40637,0.574715
240822.0,73966.8,1.84838,-2.10323
40354.2,31637.8,-0.706654,1.02329
198633.0,67877.5,1.73384,-1.06336
262344.0,50758.5,2.32546,1.7538
40226.0,39217.6,0.220469,2.2554
96819.5,34931.1,1.67281,2.78915
363618.0,78136.5,2.21874,-2.31469
220917.0,109404.0,-1.31941,0.0388381
179057.0,52090.4,1.90367,-0.953295
435678.0,83715.5,-2.33281,2.16715
590746.0,513795.0,0.529328,2.60823
109052.0,95383.6,-0.500643,-0.333742
44235.4,27242.9,-1.05915,2.18563
556581.0,533780.0,-0.283376,2.34229
460371.0,386720.0,0.596534,-0.849882
312234.0,143256.0,1.41227,-0.703904
392535.0,336572.0,-0.550055,-2.28237
191404.0,27391.0,2.63124,-2.34484
397080.0,207970.0,1.25758,-3.06892
207363.0,196330.0,-0.287956,2.91638
41823.4,41176.2,0.0526506,2.22939
622207.0,430054.0,0.910797,-3.02894
445068.0,42688.1,-3.0348,0.522994
174349.0,120927.0,-0.891542,-3.1003
507893.0,499640.0,0.00540415,0.867632
245351.0,183441.0,-0.788034,-0.215017
118125.0,49532.4,1.51439,-0.419983
130618.0,35040.1,1.98871,2.96279
98058.4,32676.5,1.76021,0.618826
377417.0,376342.0,0.0330052,-0.103961
129960.0,116119.0,0.446507,-1.18758
61310.3,52411.7,-0.570172,0.780653
292986.0,250112.0,0.568785,2.33922
371860.0,111754.0,1.8705,2.72806
498399.0,492329.0,-0.105927,-0.836656
478745.0,283427.0,1.11393,1.75582
48599.8,34258.4,-0.880472,-2.79075
59007.9,53506.3,0.429939,-1.33938
656066.0,226169.0,-1.72392,-1.31589
27249.9,24505.1,0.427354,0.96212
115546.0,27294.3,-2.11957,0.85785
469302.0,452436.0,0.262485,1.93495
1511230.0,883078.0,1.13028,3.01618
68202.9,41586.1,1.05838,2.65842
438927.0,278899.0,-1.02221,2.21926
2859730.0,185397.0,3.42804,-1.34758
407054.0,399247.0,-0.181709,3.13916
761280.0,699987.0,0.409977,-3.01994
114003.0,74210.5,-0.985733,2.37511
342370.0,283437.0,-0.613959,-0.00466833
432836.0,32337.7,3.28576,-2.15764
141031.0,74106.9,-1.25178,1.89525
313007.0,266901.0,0.576265,3.08409
412169.0,190897.0,1.40351,-2.32743
36971.8,24736.8,0.94757,-1.73961
1406390.0,457612.0,1.78708,-2.89477
285435.0,26528.2,-3.06648,-0.483215
1219370.0,333467.0,1.97003,2.3492
676427.0,664535.0,0.0852255,-0.635563
193118.0,160850.0,-0.608882,-1.75042
778337.0,684630.0,-0.516404,-0.988092
697377.0,534199.0,0.755777,-2.77753
1403650.0,473155.0,1.74887,0.415807
110891.0,59678.7,-1.21995,-0.967218
50784.5,25033.5,-1.32828,-1.81512
203942.0,56805.7,1.94907,-1.05097
34534.3,31484.8,-0.333348,-0.846178
650002.0,649340.0,-0.031294,-1.52309
460940.0,118346.0,2.03367,-1.3834
170920.0,60460.1,1.69803,-1.66061
235878.0,228808.0,-0.2379,-1.68094
813996.0,273136.0,1.75513,-1.16316
632067.0,118636.0,-2.3566,-1.86116
223863.0,222196.0,0.0873738,0.399403
214689.0,105350.0,-1.33002,0.831458
517425.0,486300.0,0.351554,2.68648
391880.0,195465.0,-1.31856,2.68762
59290.1,30063.6,1.29614,-0.940625
555048.0,300964.0,1.21675,2.38116
701489.0,646099.0,0.399165,-2.86736
405295.0,225242.0,1.18914,0.969071
2126140.0,488110.0,2.15088,1.07224
114509.0,103408.0,0.40764,2.80172
37047.5,30523.1,-0.636263,-1.85982
163750.0,160038.0,-0.202107,0.633258
589937.0,279691.0,1.37751,-1.27985
132848.0,83185.2,-1.01974,-2.10287
119773.0,52422.3,-1.46374,0.0953304
200491.0,171775.0,-0.564752,-1.1277
342051.0,302157.0,-0.492819,1.64949
280211.0,197019.0,0.853328,-0.536431
644763.0,518263.0,-0.649849,1.8593
895844.0,410735.0,-1.41475,0.59833
1932320.0,600362.0,1.83522,-1.72831
331802.0,320248.0,0.217035,0.00526285
252837.0,158070.0,-1.0204,-1.36453
46751.2,27292.2,-1.11939,-1.12181
252974.0,62751.4,2.06986,2.11869
124211.0,92886.3,0.778642,0.983271
293030.0,72161.3,-2.07709,0.584754
668179.0,555417.0,0.624794,-0.243675
558473.0,292066.0,-1.26184,-1.62135
177582.0,103849.0,1.11766,-0.247162
109379.0,50402.6,-1.40688,-0.183004
604932.0,276720.0,1.41738,1.27715
1380000.0,945070.0,0.924484,0.487571
65593.3,52863.3,-0.668138,-2.36643
255936.0,36540.1,-2.63388,-1.90442
300752.0,254354.0,-0.56005,0.237811
1009380.0,490306.0,1.34659,0.711034
569334.0,426071.0,-0.756285,1.21243
522198.0,470068.0,-0.464845,0.270634
195266.0,41923.2,-2.21885,0.718652
334639.0,48363.0,2.62168,1.8356
32563.3,25713.7,0.677159,-1.65116
456637.0,59060.4,-2.73393,-2.61063
152042.0,44311.8,-1.90344,-1.98509
36310.7,34604.6,-0.0649528,1.95658
496283.0,193524.0,-1.59325,0.546555
345829.0,264074.0,0.748148,1.84767
215098.0,45918.1,-2.22436,1.34555
491842.0,384782.0,0.726682,2.29246
541008.0,283995.0,-1.252,2.7006
289511.0,134093.0,-1.39831,1.00097
40694.9,37839.3,0.365432,2.53155
494162.0,62129.0,2.76252,-0.723213
30077.8,26063.7,-0.520669,0.636403
